reg;semaine_glissante;pop;P;T;nom_region
01;2020-05-13-2020-05-19;376879;0;364;Guadeloupe
01;2020-05-14-2020-05-20;376879;1;474;Guadeloupe
01;2020-05-15-2020-05-21;376879;3;504;Guadeloupe
01;2020-05-16-2020-05-22;376879;6;587;Guadeloupe
01;2020-05-17-2020-05-23;376879;6;593;Guadeloupe
01;2020-05-18-2020-05-24;376879;7;593;Guadeloupe
01;2020-05-19-2020-05-25;376879;8;660;Guadeloupe
01;2020-05-20-2020-05-26;376879;9;814;Guadeloupe
01;2020-05-21-2020-05-27;376879;8;746;Guadeloupe
01;2020-05-22-2020-05-28;376879;7;845;Guadeloupe
01;2020-05-23-2020-05-29;376879;4;813;Guadeloupe
01;2020-05-24-2020-05-30;376879;4;810;Guadeloupe
01;2020-05-25-2020-05-31;376879;3;814;Guadeloupe
01;2020-05-26-2020-06-01;376879;2;678;Guadeloupe
01;2020-05-27-2020-06-02;376879;3;654;Guadeloupe
01;2020-05-28-2020-06-03;376879;3;745;Guadeloupe
01;2020-05-29-2020-06-04;376879;2;776;Guadeloupe
01;2020-05-30-2020-06-05;376879;6;884;Guadeloupe
01;2020-05-31-2020-06-06;376879;7;1078;Guadeloupe
01;2020-06-01-2020-06-07;376879;7;1075;Guadeloupe
01;2020-06-02-2020-06-08;376879;7;1148;Guadeloupe
01;2020-06-03-2020-06-09;376879;5;1138;Guadeloupe
01;2020-06-04-2020-06-10;376879;6;1073;Guadeloupe
01;2020-06-05-2020-06-11;376879;6;1028;Guadeloupe
01;2020-06-06-2020-06-12;376879;5;1125;Guadeloupe
01;2020-06-07-2020-06-13;376879;4;1005;Guadeloupe
01;2020-06-08-2020-06-14;376879;4;1012;Guadeloupe
01;2020-06-09-2020-06-15;376879;5;1118;Guadeloupe
01;2020-06-10-2020-06-16;376879;6;1198;Guadeloupe
01;2020-06-11-2020-06-17;376879;5;1210;Guadeloupe
01;2020-06-12-2020-06-18;376879;6;1242;Guadeloupe
01;2020-06-13-2020-06-19;376879;6;1223;Guadeloupe
01;2020-06-14-2020-06-20;376879;8;1221;Guadeloupe
01;2020-06-15-2020-06-21;376879;8;1215;Guadeloupe
01;2020-06-16-2020-06-22;376879;8;1301;Guadeloupe
01;2020-06-17-2020-06-23;376879;8;1268;Guadeloupe
01;2020-06-18-2020-06-24;376879;8;1324;Guadeloupe
01;2020-06-19-2020-06-25;376879;10;1388;Guadeloupe
01;2020-06-20-2020-06-26;376879;7;1424;Guadeloupe
01;2020-06-21-2020-06-27;376879;5;1393;Guadeloupe
01;2020-06-22-2020-06-28;376879;5;1400;Guadeloupe
01;2020-06-23-2020-06-29;376879;4;1399;Guadeloupe
01;2020-06-24-2020-06-30;376879;5;1511;Guadeloupe
01;2020-06-25-2020-07-01;376879;8;1641;Guadeloupe
01;2020-06-26-2020-07-02;376879;6;1759;Guadeloupe
01;2020-06-27-2020-07-03;376879;7;1780;Guadeloupe
01;2020-06-28-2020-07-04;376879;7;1780;Guadeloupe
01;2020-06-29-2020-07-05;376879;7;1780;Guadeloupe
01;2020-06-30-2020-07-06;376879;8;1896;Guadeloupe
01;2020-07-01-2020-07-07;376879;7;1990;Guadeloupe
